concat,weighted_sum,V
0 0 0,0,184.6498996019364
0 0 1,1,185.73942780494693
0 0 2,2,186.93833053112036
0 0 3,3,188.13741207122808
0 0 4,4,189.40365314483645
0 0 5,5,190.68980216979983
0 0 6,6,192.00535118579867
0 0 7,7,193.32250952720645
0 0 8,8,194.6645677089692
0 0 9,9,196.05034589767465
0 0 10,10,197.50517606735235
0 0 11,11,198.9980041980744
0 0 12,12,200.47439634799963
0 0 13,13,201.99781656265264
0 0 14,14,203.57821881771093
0 0 15,15,205.1962167024613
0 0 16,16,206.8616896867753
0 1 0,1,185.73288619518283
0 1 1,2,186.9418025016785
0 1 2,3,188.1661266088486
0 1 3,4,189.4437521696091
0 1 4,5,190.72391092777252
0 1 5,6,192.0252442359925
0 1 6,7,193.35766136646276
0 1 7,8,194.7019547224045
0 1 8,9,196.0663944482804
0 1 9,10,197.51721620559695
0 1 10,11,198.97875189781195
0 1 11,12,200.4880160093308
0 1 12,13,202.0054161548615
0 1 13,14,203.5618275403977
0 1 14,15,205.19565045833596
0 1 15,16,206.8656980991364
0 1 16,17,208.5462659597397
0 2 0,2,186.91943585872653
0 2 1,3,188.1492584943772
0 2 2,4,189.43344056606296
0 2 3,5,190.72216749191287
0 2 4,6,192.0244246721268
0 2 5,7,193.35836172103885
0 2 6,8,194.7270184755326
0 2 7,9,196.0722059
0 2 8,10,197.4840015172959
0 2 9,11,198.96952807903293
0 2 10,12,200.48986375331884
0 2 11,13,202.01161503791812
0 2 12,14,203.5688906908036
0 2 13,15,205.20164072513583
0 2 14,16,206.8567425012589
0 2 15,17,208.54933559894567
0 2 16,18,210.27718484401709
0 3 0,3,188.1375014781952
0 3 1,4,189.4200146198273
0 3 2,5,190.70698320865637
0 3 3,6,192.0219659805298
0 3 4,7,193.35769116878512
0 3 5,8,194.7180032730103
0 3 6,9,196.07667624950412
0 3 7,10,197.50146567821508
0 3 8,11,198.9681869745255
0 3 9,12,200.4992067813874
0 3 10,13,202.02536880970007
0 3 11,14,203.60140502452856
0 3 12,15,205.19396662712103
0 3 13,16,206.8587243556977
0 3 14,17,208.55885744094851
0 3 15,18,210.2849036455155
0 3 16,19,212.02334761619576
0 4 0,4,189.4030719995499
0 4 1,5,190.71057438850409
0 4 2,6,192.0069754123688
0 4 3,7,193.34509968757632
0 4 4,8,194.70244646072396
0 4 5,9,196.0873603820801
0 4 6,10,197.50037789344796
0 4 7,11,198.9551037549973
0 4 8,12,200.4876881837845
0 4 9,13,202.0029723644257
0 4 10,14,203.59590649604803
0 4 11,15,205.19807934761053
0 4 12,16,206.8702727556229
0 4 13,17,208.5834146
0 4 14,18,210.27465164661413
0 4 15,19,212.03137934207925
0 4 16,20,213.83072435855877
0 5 0,5,190.6773149967194
0 5 1,6,192.00854003429416
0 5 2,7,193.3395862579346
0 5 3,8,194.68757510185247
0 5 4,9,196.0929930210114
0 5 5,10,197.51949608325964
0 5 6,11,198.9841908216477
0 5 7,12,200.49984753131872
0 5 8,13,202.0091116428376
0 5 9,14,203.5815417766572
0 5 10,15,205.20401000976568
0 5 11,16,206.8608850240708
0 5 12,17,208.56191217899328
0 5 13,18,210.28621494770056
0 5 14,19,212.0373845100404
0 5 15,20,213.85242044925695
0 5 16,21,215.68547189235696
0 6 0,6,191.97733700275424
