concat,weighted_sum,V
0,0,270.39997907013475
1,1,277.51059610154346
2,2,284.73528316447334
3,3,292.4335176381715
4,4,300.6355744870288
5,5,309.38506530231257
6,6,319.1000185205812
7,7,329.3540027519715
8,8,340.7186623178834
9,9,352.56722017759114
10,10,365.5511949806249
11,11,379.00198974441616
12,12,393.30037792407023
13,13,408.4230345862544
14,14,423.7709040275695
15,15,439.8508802364221
16,16,456.6074969550027
17,17,473.49737683237737
18,18,490.8058403782973
19,19,508.63140115698377
20,20,526.8410609074039
21,21,545.0931326628292
22,22,563.5758219477816
23,23,582.4008234327146
24,24,601.4693944397618
25,25,620.7377288161877
26,26,621.3476736659753
27,27,640.6268285098603
28,28,660.0472331047058
29,29,679.6242950205923
30,30,699.2396861625313
31,31,718.6650363124504
32,32,718.6347273693879
33,33,718.7398737121822
34,34,718.8901354267751
35,35,719.0763972525846
36,36,719.2280887120867
37,37,719.4346742323739
38,38,719.5808578840267
39,39,719.753292981716
40,40,719.945516615906
41,41,720.1433554267506
42,42,720.3939900376548
43,43,720.5912790678519
44,44,720.785230228156
45,45,720.9763708465215
46,46,721.1327805688626
47,47,721.358917616264
48,48,721.5386232897599
49,49,721.7036067981952
50,50,721.8665041548127
51,51,722.0426337089742
52,52,722.2165099401695
53,53,722.3922368438633
54,54,722.5712542392952
55,55,722.758309508242
56,56,741.0531348432431
57,57,741.2250358993138
58,58,741.4019916446154
59,59,741.592129629411
60,60,741.8028427180134
61,61,741.9785577229321
62,62,742.1808447790181
63,63,742.376406551359
64,64,742.4704736850405
65,65,742.6535099762201
66,66,742.8364959018593
67,67,743.0150105657954
68,68,743.1988423042948
69,69,743.3779446803259
70,70,743.5586653719013
71,71,743.7243052832638
72,72,743.9008551807523
73,73,744.0970146927484
74,74,744.2781526670374
75,75,744.4661438996372
76,76,744.6423464115419
77,77,744.8795139960466
78,78,745.064873543973
79,79,745.231535881736
80,80,745.4030802297559
81,81,745.6507281711363
82,82,745.7653563834288
83,83,746.0421001296284
84,84,746.1749601271662
85,85,746.3990639522654
86,86,746.5759180318432
87,87,746.7370208146538
88,88,746.9039746413652
89,89,747.0790427567782
90,90,747.2426470084123
91,91,747.4074530921298
92,92,747.5737006615226
93,93,747.7382613787169
94,94,747.910110898115
95,95,748.0823182222981
96,96,748.1458423734547
97,97,748.3187593342152
98,98,748.4702057177615
99,99,748.6577696774066
100,100,748.8112445992303
101,101,749.0390991703819
102,102,749.2263005588577
103,103,749.3845747401092
104,104,749.4861916348441
105,105,749.6525900077078
106,106,749.7920549127293
107,107,749.944100189112
108,108,750.1037493999858
109,109,750.2488540244199
110,110,750.4007319029328
111,111,750.5452192764509
112,112,750.6997156559418
113,113,750.8439004017736
114,114,750.9875423903316
115,115,751.1671981986408
116,116,751.316330100063
117,117,751.4572961419852
118,118,751.6199582328281
119,119,751.7594939508864
120,120,751.8640419901417
121,121,752.0199691829087
122,122,752.1524120711666
123,123,752.278407566474
124,124,752.3870184195384
125,125,752.4777973369427
126,126,752.5682074277787
127,127,752.5816895820901
128,128,752.6715215974131
