concat,weighted_sum,V,Recovered_Binary,Recovered_Value,V_ideal,Ideal_Digital,Error
0 0 0,0,0.0,00000000,0,0.0,0,0
0 0 1,1,0.08536875247955322,00000000,0,10.369788110256195,6,6
0 0 2,2,0.18301606178283691,00000000,0,20.73957622051239,12,12
0 0 3,3,0.27939677238464355,00000000,0,31.109364330768585,19,19
0 0 4,4,0.3775656223297119,00000000,0,41.47915244102478,25,25
0 0 5,5,0.4700124263763428,00000000,0,51.848940551280975,31,31
0 0 6,6,0.576451420784025,00000000,0,62.21872866153717,38,38
0 0 7,7,0.6578266620635986,00000000,0,72.58851677179337,44,44
0 0 8,8,0.7538050413131714,00000000,0,82.95830488204956,51,51
0 0 9,9,0.8333027362823486,00000000,0,93.32809299230576,57,57
0 0 10,10,0.929415225982666,00000000,0,103.69788110256195,63,63
0 0 11,11,1.0382533073425293,00000000,0,114.06766921281816,70,70
0 0 12,12,1.1398494243621826,00000000,0,124.43745732307434,76,76
0 0 13,13,1.2147128582000732,00000000,0,134.80724543333054,82,82
0 0 14,14,1.3248175382614136,00000000,0,145.17703354358673,89,89
0 0 15,15,1.370847225189209,00000000,0,155.54682165384293,95,95
0 0 16,16,1.4759749174118042,00000000,0,165.91660976409912,102,102
0 1 0,1,0.08819997310638428,00000000,0,10.369788110256195,6,6
0 1 1,2,0.19243359565734863,00000000,0,20.73957622051239,12,12
0 1 2,3,0.28045475482940674,00000000,0,31.109364330768585,19,19
0 1 3,4,0.38298964500427246,00000000,0,41.47915244102478,25,25
0 1 4,5,0.4647970199584961,00000000,0,51.848940551280975,31,31
0 1 5,6,0.5761384963989258,00000000,0,62.21872866153717,38,38
0 1 6,7,0.6584823131561279,00000000,0,72.58851677179337,44,44
0 1 7,8,0.7538944482803345,00000000,0,82.95830488204956,51,51
0 1 8,9,0.8317381143569946,00000000,0,93.32809299230576,57,57
0 1 9,10,0.9349137544631958,00000000,0,103.69788110256195,63,63
0 1 10,11,1.0382086038589478,00000000,0,114.06766921281816,70,70
0 1 11,12,1.1331140995025635,00000000,0,124.43745732307434,76,76
0 1 12,13,1.2083053588867188,00000000,0,134.80724543333054,82,82
0 1 13,14,1.3296902179718018,00000000,0,145.17703354358673,89,89
0 1 14,15,1.3837218284606934,00000000,0,155.54682165384293,95,95
0 1 15,16,1.4695227146148682,00000000,0,165.91660976409912,102,102
0 1 16,17,1.601889729499817,00000000,0,176.28639787435532,108,108
0 2 0,2,0.19276142120361328,00000000,0,20.73957622051239,12,12
0 2 1,3,0.2810060977935791,00000000,0,31.109364330768585,19,19
0 2 2,4,0.38219988346099854,00000000,0,41.47915244102478,25,25
0 2 3,5,0.4654228687286377,00000000,0,51.848940551280975,31,31
0 2 4,6,0.5775094032287598,00000000,0,62.21872866153717,38,38
0 2 5,7,0.6589293479919434,00000000,0,72.58851677179337,44,44
0 2 6,8,0.7447004318237305,00000000,0,82.95830488204956,51,51
0 2 7,9,0.8482635021209717,00000000,0,93.32809299230576,57,57
0 2 8,10,0.927165150642395,00000000,0,103.69788110256195,63,63
0 2 9,11,1.0379552841186523,00000000,0,114.06766921281816,70,70
0 2 10,12,1.134634017944336,00000000,0,124.43745732307434,76,76
0 2 11,13,1.2240707874298096,00000000,0,134.80724543333054,82,82
0 2 12,14,1.3057589530944824,00000000,0,145.17703354358673,89,89
0 2 13,15,1.3867169618606567,00000000,0,155.54682165384293,95,95
0 2 14,16,1.4687180519104004,00000000,0,165.91660976409912,102,102
0 2 15,17,1.577630639076233,00000000,0,176.28639787435532,108,108
0 2 16,18,1.6656965017318726,00000001,1,186.6561859846115,114,113
0 3 0,3,0.27498602867126465,00000000,0,31.109364330768585,19,19
0 3 1,4,0.38675963878634434,00000000,0,41.47915244102478,25,25
0 3 2,5,0.4665255546569824,00000000,0,51.848940551280975,31,31
0 3 3,6,0.5846768617630005,00000000,0,62.21872866153717,38,38
0 3 4,7,0.6594806909561157,00000000,0,72.58851677179337,44,44
0 3 5,8,0.7545202970505045,00000000,0,82.95830488204956,51,51
0 3 6,9,0.8469372987747192,00000000,0,93.32809299230576,57,57
0 3 7,10,0.9416639804840088,00000000,0,103.69788110256195,63,63
0 3 8,11,1.0382533073425293,00000000,0,114.06766921281816,70,70
0 3 9,12,1.1489242315292358,00000000,0,124.43745732307434,76,76
0 3 10,13,1.2104809284210205,00000000,0,134.80724543333054,82,82
0 3 11,14,1.2825727462768555,00000000,0,145.17703354358673,89,89
0 3 12,15,1.3824999332427979,00000000,0,155.54682165384293,95,95
0 3 13,16,1.4642030000686646,00000000,0,165.91660976409912,102,102
0 3 14,17,1.6131997108459473,00000000,0,176.28639787435532,108,108
0 3 15,18,1.6691088676452637,00000001,1,186.6561859846115,114,113
0 3 16,19,1.7499029636382772,00000001,1,197.0259740948677,121,120
0 4 0,4,0.37892162799835205,00000000,0,41.47915244102478,25,25
0 4 1,5,0.4673600196838379,00000000,0,51.848940551280975,31,31
0 4 2,6,0.5773007869720459,00000000,0,62.21872866153717,38,38
0 4 3,7,0.6602108478546143,00000000,0,72.58851677179337,44,44
0 4 4,8,0.7548630237579346,00000000,0,82.95830488204956,51,51
0 4 5,9,0.8367002010345459,00000000,0,93.32809299230576,57,57
0 4 6,10,0.9417533874511719,00000000,0,103.69788110256195,63,63
0 4 7,11,1.0366737842559814,00000000,0,114.06766921281816,70,70
0 4 8,12,1.1397302150726318,00000000,0,124.43745732307434,76,76
0 4 9,13,1.2138187885284424,00000000,0,134.80724543333054,82,82
0 4 10,14,1.3065338134765625,00000000,0,145.17703354358673,89,89
0 4 11,15,1.3907253742218018,00000000,0,155.54682165384293,95,95
0 4 12,16,1.494675874710083,00000000,0,165.91660976409912,102,102
0 4 13,17,1.5983730554580688,00000000,0,176.28639787435532,108,108
0 4 14,18,1.6755014657974243,00000001,1,186.6561859846115,114,113
0 4 15,19,1.7535686492919922,00000001,1,197.0259740948677,121,120
0 4 16,20,1.8543004989624023,00000001,1,207.3957622051239,127,126
0 5 0,5,0.4677772521972372,00000000,0,51.848940551280975,31,31
0 5 1,6,0.5767494440078735,00000000,0,62.21872866153717,38,38
